scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time,model,error,time,tar_group.x,scenario_days,meanlog,sdlog,mean,sd,tar_group.y,distribution_stat,r,growth_rate
decay,medium,200,Exponential,81,13,"",4000,1,0,0,3,1644,0.411,2.5,Dynamical and censoring adjusted,"",,,,1.6,0.6,5.92985641859115,3.90349172318309,2,"Medium (mean: 5.9, sd: 3.9)",-0.1,Decay (-0.1)
decay,medium,200,Exponential,82,14,"",4000,1,0,0,3,1724,0.431,2.5,Dynamical and censoring adjusted,"",,,,1.6,0.6,5.92985641859115,3.90349172318309,2,"Medium (mean: 5.9, sd: 3.9)",-0.1,Decay (-0.1)
decay,medium,200,Exponential,83,15,"",4000,1,0,0,3,1470,0.3675,2.4,Dynamical and censoring adjusted,"",,,,1.6,0.6,5.92985641859115,3.90349172318309,2,"Medium (mean: 5.9, sd: 3.9)",-0.1,Decay (-0.1)
decay,medium,200,Exponential,84,16,"",4000,1,0,0,3,1540,0.385,2.5,Dynamical and censoring adjusted,"",,,,1.6,0.6,5.92985641859115,3.90349172318309,2,"Medium (mean: 5.9, sd: 3.9)",-0.1,Decay (-0.1)
decay,medium,200,Exponential,85,17,"",4000,1,0,0,3,1720,0.43,2.5,Dynamical and censoring adjusted,"",,,,1.6,0.6,5.92985641859115,3.90349172318309,2,"Medium (mean: 5.9, sd: 3.9)",-0.1,Decay (-0.1)
decay,medium,200,Exponential,86,18,"",4000,1,0,0,3,1736,0.434,2.5,Dynamical and censoring adjusted,"",,,,1.6,0.6,5.92985641859115,3.90349172318309,2,"Medium (mean: 5.9, sd: 3.9)",-0.1,Decay (-0.1)
decay,medium,200,Exponential,87,19,"",4000,1,0,0,3,1670,0.4175,2.5,Dynamical and censoring adjusted,"",,,,1.6,0.6,5.92985641859115,3.90349172318309,2,"Medium (mean: 5.9, sd: 3.9)",-0.1,Decay (-0.1)
decay,medium,200,Exponential,88,20,"",4000,1,0,0,3,1638,0.4095,2.5,Dynamical and censoring adjusted,"",,,,1.6,0.6,5.92985641859115,3.90349172318309,2,"Medium (mean: 5.9, sd: 3.9)",-0.1,Decay (-0.1)
decay,short,200,Exponential,89,1,"",4000,1,0,0,3,1392,0.348,2.4,Dynamical and censoring adjusted,"",,,,1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",-0.1,Decay (-0.1)
decay,short,200,Exponential,90,2,"",4000,1,486,0.1215,5,19,0.00475,6.6,Dynamical and censoring adjusted,"",,,,1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",-0.1,Decay (-0.1)
decay,short,200,Exponential,91,3,"",4000,1.01,2947,0.73675,6,141,0.03525,15.9,Dynamical and censoring adjusted,"",,,,1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",-0.1,Decay (-0.1)
decay,short,200,Exponential,92,4,"",4000,1,0,0,3,1311,0.32775,2.5,Dynamical and censoring adjusted,"",,,,1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",-0.1,Decay (-0.1)
