scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time,model,min_ess_bulk,min_ess_tail,time,tar_group.x,scenario_days,meanlog,sdlog,mean,sd,tar_group.y,distribution_stat,r,growth_rate
late outbreak,short,200,Outbreak,30,1,"",4000,1,213,0.05325,4,6,0.0015,8.8,Dynamical and censoring adjusted (real-time incidence),,,60,2,late outbreak (day 60),1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",,
late outbreak,short,200,Outbreak,30,1,"",4000,1.49,1160,0.29,9,1,0.00025,90.9,Dynamical and censoring adjusted (retrospective incidence),,,60,2,late outbreak (day 60),1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",,
late outbreak,short,400,Outbreak,42,1,"",4000,1,450,0.1125,4,521,0.13025,26.9,Dynamical and censoring adjusted (real-time incidence),,,60,2,late outbreak (day 60),1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",,
late outbreak,short,400,Outbreak,42,1,"",4000,2.04,2073,0.51825,9,5,0.00125,83.6,Dynamical and censoring adjusted (retrospective incidence),,,60,2,late outbreak (day 60),1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",,
near peak,short,10,Outbreak,9,1,"",4000,1.01,2027,0.50675,7,9,0.00225,0.8,Truncation and censoring adjusted,,,30,3,near peak (day 30),1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",,
near peak,short,10,Outbreak,9,1,"",4000,1.01,2277,0.56925,8,2,5e-04,5.1,Dynamical and censoring adjusted (real-time incidence),,,30,3,near peak (day 30),1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",,
near peak,short,10,Outbreak,9,1,"",4000,1.01,2405,0.60125,7,8,0.002,10,Dynamical and censoring adjusted (retrospective incidence),,,30,3,near peak (day 30),1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",,
near peak,short,10,Outbreak,9,1,"",4000,1,930,0.2325,7,1,0.00025,7.7,Joint incidence and delay estimation,833.83,607,30,3,near peak (day 30),1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",,
near peak,short,200,Outbreak,33,1,"",4000,1,69,0.01725,3,1689,0.42225,2.8,Dynamical and censoring adjusted (real-time incidence),,,30,3,near peak (day 30),1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",,
near peak,short,200,Outbreak,33,1,"",4000,1,51,0.01275,4,373,0.09325,4.3,Dynamical and censoring adjusted (retrospective incidence),,,30,3,near peak (day 30),1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",,
past peak,long,10,Outbreak,10,1,"",4000,1.02,187,0.04675,5,23,0.00575,5,Dynamical and censoring adjusted (real-time incidence),,,45,4,past peak (day 45),1.8,0.8,8.33113748768769,7.88814376435135,1,"Long (mean: 8.3, sd: 7.9)",,
past peak,short,10,Outbreak,12,1,"",4000,1.01,177,0.04425,5,38,0.0095,4,Dynamical and censoring adjusted (real-time incidence),,,45,4,past peak (day 45),1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",,
past peak,short,10,Outbreak,12,1,"",4000,1,73,0.01825,4,408,0.102,5.6,Dynamical and censoring adjusted (retrospective incidence),,,45,4,past peak (day 45),1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",,
past peak,short,100,Outbreak,24,1,"",4000,1.56,1296,0.324,8,69,0.01725,23.7,Dynamical and censoring adjusted (real-time incidence),,,45,4,past peak (day 45),1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",,
past peak,short,100,Outbreak,24,1,"",4000,1.88,3093,0.77325,10,222,0.0555,176.2,Dynamical and censoring adjusted (retrospective incidence),,,45,4,past peak (day 45),1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",,
