scenario,distribution,sample_size,data_type,id,replicate,obs_type
fast decay,short,200,exponential,151,15,
fast decay,short,200,exponential,152,16,
fast decay,short,200,exponential,153,17,
fast decay,short,200,exponential,154,18,
fast decay,short,200,exponential,155,19,
fast decay,short,200,exponential,156,20,
fast growth,long,200,exponential,157,1,
fast growth,long,200,exponential,158,2,
fast growth,long,200,exponential,159,3,
fast growth,long,200,exponential,160,4,
fast growth,long,200,exponential,161,5,
fast growth,long,200,exponential,162,6,
fast growth,long,200,exponential,163,7,
fast growth,long,200,exponential,164,8,
fast growth,long,200,exponential,165,9,
fast growth,long,200,exponential,166,10,
fast growth,long,200,exponential,167,11,
fast growth,long,200,exponential,168,12,
fast growth,long,200,exponential,169,13,
fast growth,long,200,exponential,170,14,
fast growth,long,200,exponential,171,15,
fast growth,long,200,exponential,172,16,
fast growth,long,200,exponential,173,17,
fast growth,long,200,exponential,174,18,
fast growth,long,200,exponential,175,19,
fast growth,long,200,exponential,176,20,
fast growth,medium,200,exponential,177,1,
fast growth,medium,200,exponential,178,2,
fast growth,medium,200,exponential,179,3,
fast growth,medium,200,exponential,180,4,
fast growth,medium,200,exponential,181,5,
fast growth,medium,200,exponential,182,6,
fast growth,medium,200,exponential,183,7,
fast growth,medium,200,exponential,184,8,
fast growth,medium,200,exponential,185,9,
fast growth,medium,200,exponential,186,10,
fast growth,medium,200,exponential,187,11,
fast growth,medium,200,exponential,188,12,
fast growth,medium,200,exponential,189,13,
fast growth,medium,200,exponential,190,14,
fast growth,medium,200,exponential,191,15,
fast growth,medium,200,exponential,192,16,
fast growth,medium,200,exponential,193,17,
fast growth,medium,200,exponential,194,18,
fast growth,medium,200,exponential,195,19,
fast growth,medium,200,exponential,196,20,
fast growth,short,200,exponential,197,1,
fast growth,short,200,exponential,198,2,
fast growth,short,200,exponential,199,3,
fast growth,short,200,exponential,200,4,
fast growth,short,200,exponential,201,5,
fast growth,short,200,exponential,202,6,
fast growth,short,200,exponential,203,7,
fast growth,short,200,exponential,204,8,
fast growth,short,200,exponential,205,9,
fast growth,short,200,exponential,206,10,
fast growth,short,200,exponential,207,11,
fast growth,short,200,exponential,208,12,
fast growth,short,200,exponential,209,13,
fast growth,short,200,exponential,210,14,
fast growth,short,200,exponential,211,15,
fast growth,short,200,exponential,212,16,
fast growth,short,200,exponential,213,17,
fast growth,short,200,exponential,214,18,
fast growth,short,200,exponential,215,19,
fast growth,short,200,exponential,216,20,
growth,long,200,exponential,217,1,
growth,long,200,exponential,218,2,
growth,long,200,exponential,219,3,
growth,long,200,exponential,220,4,
growth,long,200,exponential,221,5,
growth,long,200,exponential,222,6,
growth,long,200,exponential,223,7,
growth,long,200,exponential,224,8,
growth,long,200,exponential,225,9,
growth,long,200,exponential,226,10,
growth,long,200,exponential,227,11,
growth,long,200,exponential,228,12,
growth,long,200,exponential,229,13,
growth,long,200,exponential,230,14,
growth,long,200,exponential,231,15,
growth,long,200,exponential,232,16,
growth,long,200,exponential,233,17,
growth,long,200,exponential,234,18,
growth,long,200,exponential,235,19,
growth,long,200,exponential,236,20,
growth,medium,200,exponential,237,1,
growth,medium,200,exponential,238,2,
growth,medium,200,exponential,239,3,
growth,medium,200,exponential,240,4,
growth,medium,200,exponential,241,5,
growth,medium,200,exponential,242,6,
growth,medium,200,exponential,243,7,
growth,medium,200,exponential,244,8,
growth,medium,200,exponential,245,9,
growth,medium,200,exponential,246,10,
growth,medium,200,exponential,247,11,
growth,medium,200,exponential,248,12,
growth,medium,200,exponential,249,13,
growth,medium,200,exponential,250,14,
growth,medium,200,exponential,251,15,
growth,medium,200,exponential,252,16,
growth,medium,200,exponential,253,17,
growth,medium,200,exponential,254,18,
growth,medium,200,exponential,255,19,
growth,medium,200,exponential,256,20,
growth,short,200,exponential,257,1,
growth,short,200,exponential,258,2,
growth,short,200,exponential,259,3,
growth,short,200,exponential,260,4,
growth,short,200,exponential,261,5,
growth,short,200,exponential,262,6,
growth,short,200,exponential,263,7,
growth,short,200,exponential,264,8,
growth,short,200,exponential,265,9,
growth,short,200,exponential,266,10,
growth,short,200,exponential,267,11,
growth,short,200,exponential,268,12,
growth,short,200,exponential,269,13,
growth,short,200,exponential,270,14,
growth,short,200,exponential,271,15,
growth,short,200,exponential,272,16,
growth,short,200,exponential,273,17,
growth,short,200,exponential,274,18,
growth,short,200,exponential,275,19,
growth,short,200,exponential,276,20,
stable,long,200,exponential,277,1,
stable,long,200,exponential,278,2,
stable,long,200,exponential,279,3,
