"mean","sd","median","p95"
11.787,7.171,10.137,25.644
10.871,7.309,9.1781,24.854
10.99,6.2496,9.9291,23.287
10.062,5.2839,8.9971,20.004
12.046,5.5836,11.261,22.489
11.11,5.1106,10.197,20.786
12.595,7.2732,11.499,28.041
11.289,5.3877,10.727,21.61
9.4528,4.6388,8.8079,18.615
15.938,10.135,13.638,34.974
9.0937,4.8804,8.3242,18.147
15.204,8.4508,13.256,31.011
10.641,5.3303,10.009,20.264
11.27,6.1949,10.172,22.013
11.432,6.8954,10.143,24.531
11.938,6.1659,10.869,24.598
10.921,5.3715,10.143,21.28
12.841,6.0644,11.995,24.669
12.013,7.3055,10.236,25.607
12.586,6.6348,11.623,24.941
13.101,7.4265,11.409,27.751
9.2089,5.2659,8.3002,19.701
15.095,7.9503,13.71,29.75
13.947,6.9022,12.58,27.414
13.074,6.3671,12.144,24.765
10.113,6.099,9.0189,21.959
11.31,8.5103,9.0374,27.406
10.558,5.827,9.5033,20.31
10.991,6.961,9.5743,24.908
9.0216,5.9547,7.6828,20.016
12.393,7.1304,10.93,26.079
12.624,6.4524,11.572,24.236
9.7979,4.9529,9.0882,19.604
11.924,6.6073,10.861,24.155
11.443,5.3445,10.54,21.075
12.932,8.0689,11.456,27.416
11.356,6.1975,10.094,22.337
12.595,6.8739,11.109,26.035
12.583,6.8631,11.407,25.002
10.186,5.2965,9.0356,20.765
12.061,5.8425,11.327,23.506
10.795,6.3074,9.1589,22.523
13.003,7.1391,11.913,26.009
12.767,6.3241,11.691,25.094
12.837,7.0229,11.527,25.898
11.902,8.3312,9.9518,29.933
12.403,7.6865,11.063,27.274
11.868,7.017,10.561,25.402
11.112,5.2564,10.314,21.025
13.477,6.2083,12.607,26.009
10.697,5.8514,9.685,21.519
12.123,7.0565,10.702,25.307
12.118,7.3623,10.28,26.317
13.229,7.3443,11.701,27.024
10.409,5.6451,9.0881,21.348
14.605,7.9525,13.37,28.976
14.06,7.6719,12.724,28.114
10.079,6.1183,8.65,23.189
12.74,6.9054,11.601,25.795
10.271,5.9411,9.0588,21.254
9.9697,5.4545,8.7352,20.419
10.088,5.6903,9.0005,20.819
13.968,7.6953,12.178,29.229
10.049,6.4448,8.7297,22.094
13.471,6.3703,12.514,25.04
8.8852,5.6385,7.9191,19.59
9.2868,5.7248,8.0616,20.678
11.866,7.051,10.489,24.9
11.51,7.3467,9.7663,25.892
13.549,7.6831,12.19,27.535
12.937,7.3834,11.103,27.44
10.793,5.969,9.6789,22.896
10.359,6.2476,9.3298,21.678
12.449,6.3097,11.365,23.975
10.256,5.3975,9.0868,20.564
13.084,7.0973,11.817,26.56
10.98,6.2601,9.6976,22.582
10.516,6.2886,9.045,23.811
11.259,6.0838,10.303,22.977
10.489,6.1302,9.4987,22.859
11.264,6.3324,10.203,23.907
10.319,5.6339,9.032,20.638
10.879,6.2789,9.6784,22.345
9.2544,4.909,8.3827,18.673
8.8356,4.8282,7.926,18.178
9.7868,5.6643,8.6386,20.517
10.371,7.3858,8.3637,23.731
