id,scenario,distribution,sample_size,data_type,parameter,mean,median,q2.5,q5,q20,q35,q65,q80,q95,q97.5
20,near peak,medium,100,outbreak,sdlog,0.56,0.56,0.49,0.5,0.53,0.55,0.58,0.6,0.64,0.65
20,near peak,medium,100,outbreak,mean,5.4,5.4,4.9,4.9,5.2,5.3,5.6,5.7,6,6.2
20,near peak,medium,100,outbreak,sd,3.3,3.3,2.6,2.7,3,3.2,3.4,3.7,4.1,4.3
21,near peak,short,100,outbreak,meanlog,1.1,1.1,0.9,0.93,1,1,1.1,1.2,1.2,1.3
21,near peak,short,100,outbreak,sdlog,0.9,0.9,0.78,0.8,0.84,0.87,0.92,0.95,1,1
21,near peak,short,100,outbreak,mean,4.4,4.4,3.6,3.7,4,4.2,4.6,4.8,5.3,5.6
21,near peak,short,100,outbreak,sd,5,4.9,3.5,3.7,4.2,4.5,5.2,5.7,6.8,7.3
22,past peak,long,100,outbreak,meanlog,1.7,1.7,1.5,1.6,1.6,1.6,1.7,1.7,1.8,1.8
22,past peak,long,100,outbreak,sdlog,0.68,0.68,0.59,0.61,0.64,0.66,0.7,0.72,0.76,0.79
22,past peak,long,100,outbreak,mean,6.7,6.7,5.8,5.9,6.3,6.5,6.9,7.1,7.6,7.8
22,past peak,long,100,outbreak,sd,5.2,5.1,4,4.1,4.6,4.9,5.4,5.8,6.5,6.9
23,past peak,medium,100,outbreak,meanlog,1.6,1.6,1.4,1.5,1.5,1.6,1.6,1.6,1.7,1.7
23,past peak,medium,100,outbreak,sdlog,0.64,0.63,0.55,0.57,0.6,0.62,0.65,0.67,0.72,0.73
23,past peak,medium,100,outbreak,mean,5.9,5.9,5.2,5.3,5.6,5.8,6.1,6.3,6.7,6.8
23,past peak,medium,100,outbreak,sd,4.2,4.1,3.3,3.4,3.7,3.9,4.4,4.6,5.2,5.5
24,past peak,short,100,outbreak,meanlog,1.2,1.2,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.3
24,past peak,short,100,outbreak,sdlog,0.44,0.44,0.38,0.39,0.41,0.43,0.45,0.47,0.49,0.51
24,past peak,short,100,outbreak,mean,3.6,3.6,3.3,3.3,3.5,3.5,3.7,3.7,3.9,4
24,past peak,short,100,outbreak,sd,1.7,1.7,1.4,1.4,1.5,1.6,1.7,1.8,2,2.1
25,early outbreak,long,1000,outbreak,meanlog,1.1,1.1,0.98,1,1,1.1,1.1,1.1,1.2,1.2
25,early outbreak,long,1000,outbreak,sdlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.3
25,early outbreak,long,1000,outbreak,mean,6.1,6.1,5.3,5.4,5.7,5.9,6.2,6.5,6.9,7
25,early outbreak,long,1000,outbreak,sd,11,11,8.5,8.9,9.7,10,11,12,13,14
26,early outbreak,medium,1000,outbreak,meanlog,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3
26,early outbreak,medium,1000,outbreak,sdlog,0.53,0.53,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57
26,early outbreak,medium,1000,outbreak,mean,3.9,3.9,3.8,3.8,3.9,3.9,4,4,4.1,4.2
26,early outbreak,medium,1000,outbreak,sd,2.3,2.3,2.1,2.1,2.2,2.2,2.3,2.4,2.5,2.5
27,early outbreak,short,1000,outbreak,meanlog,1,1,1,1,1,1,1.1,1.1,1.1,1.1
27,early outbreak,short,1000,outbreak,sdlog,0.43,0.43,0.41,0.41,0.42,0.43,0.44,0.44,0.45,0.46
27,early outbreak,short,1000,outbreak,mean,3.1,3.1,3,3,3.1,3.1,3.2,3.2,3.2,3.2
27,early outbreak,short,1000,outbreak,sd,1.4,1.4,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.5
28,late outbreak,long,1000,outbreak,meanlog,1.7,1.7,1.6,1.7,1.7,1.7,1.7,1.7,1.8,1.8
28,late outbreak,long,1000,outbreak,sdlog,0.96,0.96,0.92,0.92,0.94,0.95,0.96,0.97,0.99,1
28,late outbreak,long,1000,outbreak,mean,8.7,8.7,8.1,8.2,8.5,8.6,8.8,9,9.3,9.4
28,late outbreak,long,1000,outbreak,sd,11,11,9.5,9.7,10,10,11,11,12,12
29,late outbreak,medium,1000,outbreak,meanlog,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
29,late outbreak,medium,1000,outbreak,sdlog,0.61,0.61,0.58,0.59,0.6,0.6,0.61,0.62,0.63,0.64
29,late outbreak,medium,1000,outbreak,mean,5.9,5.9,5.7,5.7,5.8,5.9,6,6,6.2,6.2
29,late outbreak,medium,1000,outbreak,sd,4,4,3.7,3.7,3.8,3.9,4,4.1,4.3,4.3
30,late outbreak,short,1000,outbreak,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2
30,late outbreak,short,1000,outbreak,sdlog,0.44,0.44,0.42,0.43,0.44,0.44,0.45,0.45,0.46,0.46
30,late outbreak,short,1000,outbreak,mean,3.6,3.6,3.5,3.5,3.5,3.5,3.6,3.6,3.6,3.7
30,late outbreak,short,1000,outbreak,sd,1.7,1.7,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.8
31,near peak,long,1000,outbreak,meanlog,1.4,1.4,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.4
31,near peak,long,1000,outbreak,sdlog,0.88,0.88,0.84,0.85,0.86,0.87,0.89,0.9,0.92,0.92
31,near peak,long,1000,outbreak,mean,5.8,5.8,5.4,5.5,5.6,5.7,5.8,5.9,6.1,6.2
31,near peak,long,1000,outbreak,sd,6.3,6.3,5.6,5.7,6,6.1,6.4,6.6,6.9,7
32,near peak,medium,1000,outbreak,meanlog,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5
32,near peak,medium,1000,outbreak,sdlog,0.56,0.56,0.54,0.54,0.55,0.56,0.56,0.57,0.58,0.59
32,near peak,medium,1000,outbreak,mean,5,5,4.8,4.8,4.9,4.9,5,5.1,5.1,5.2
32,near peak,medium,1000,outbreak,sd,3,3,2.8,2.8,2.9,3,3.1,3.1,3.2,3.3
33,near peak,short,1000,outbreak,meanlog,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2
33,near peak,short,1000,outbreak,sdlog,0.41,0.41,0.4,0.4,0.41,0.41,0.42,0.42,0.43,0.43
33,near peak,short,1000,outbreak,mean,3.4,3.4,3.3,3.3,3.3,3.4,3.4,3.4,3.5,3.5
33,near peak,short,1000,outbreak,sd,1.5,1.5,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5
34,past peak,long,1000,outbreak,meanlog,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.7
34,past peak,long,1000,outbreak,sdlog,0.97,0.97,0.93,0.94,0.95,0.96,0.98,0.99,1,1
34,past peak,long,1000,outbreak,mean,8.3,8.2,7.7,7.8,8,8.1,8.4,8.5,8.8,8.9
34,past peak,long,1000,outbreak,sd,10,10,9.2,9.3,9.8,10,11,11,11,12
35,past peak,medium,1000,outbreak,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.6
35,past peak,medium,1000,outbreak,sdlog,0.66,0.66,0.63,0.64,0.65,0.66,0.67,0.67,0.69,0.69
35,past peak,medium,1000,outbreak,mean,6,6,5.7,5.8,5.9,5.9,6,6.1,6.2,6.3
35,past peak,medium,1000,outbreak,sd,4.4,4.4,4.1,4.1,4.3,4.4,4.5,4.6,4.8,4.8
36,past peak,short,1000,outbreak,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2
36,past peak,short,1000,outbreak,sdlog,0.5,0.5,0.48,0.49,0.5,0.5,0.51,0.51,0.52,0.53
36,past peak,short,1000,outbreak,mean,3.7,3.7,3.6,3.6,3.6,3.7,3.7,3.7,3.8,3.8
36,past peak,short,1000,outbreak,sd,2,2,1.9,1.9,1.9,2,2,2,2.1,2.1
37,fast decay,long,10,exponential,meanlog,1.6,1.6,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.9
37,fast decay,long,10,exponential,sdlog,0.5,0.48,0.31,0.33,0.39,0.44,0.52,0.59,0.76,0.84
37,fast decay,long,10,exponential,mean,5.9,5.7,4.2,4.4,5,5.4,6.1,6.6,8,8.7
37,fast decay,long,10,exponential,sd,3.4,2.8,1.6,1.8,2.2,2.5,3.3,4,6.2,8.4
38,fast decay,medium,10,exponential,meanlog,1.6,1.6,1.1,1.2,1.4,1.5,1.7,1.7,1.9,2
38,fast decay,medium,10,exponential,sdlog,0.65,0.62,0.41,0.43,0.51,0.56,0.68,0.77,0.97,1.1
38,fast decay,medium,10,exponential,mean,6.3,5.9,4.1,4.3,5,5.5,6.5,7.3,9.2,10
38,fast decay,medium,10,exponential,sd,7.9,4,2.1,2.3,2.9,3.4,4.8,6,10,13
39,fast decay,short,10,exponential,meanlog,1.2,1.2,0.77,0.86,1,1.1,1.3,1.4,1.5,1.6
39,fast decay,short,10,exponential,sdlog,0.66,0.62,0.41,0.43,0.52,0.57,0.68,0.77,0.98,1.1
39,fast decay,short,10,exponential,mean,4.3,4.1,2.8,3,3.4,3.8,4.5,5,6.2,7.2
39,fast decay,short,10,exponential,sd,3.6,2.8,1.5,1.6,2,2.4,3.3,4.2,7.2,9.6
40,fast growth,long,10,exponential,meanlog,1.2,1.2,0.83,0.89,1,1.1,1.2,1.3,1.5,1.5
40,fast growth,long,10,exponential,sdlog,0.54,0.51,0.34,0.36,0.42,0.46,0.56,0.64,0.82,0.9
