id,scenario,distribution,sample_size,data_type,parameter,mean,median,q2.5,q5,q20,q35,q65,q80,q95,q97.5
18,late outbreak,short,100,outbreak,mean,3.7,3.7,3.4,3.4,3.6,3.7,3.8,3.9,4,4.1
18,late outbreak,short,100,outbreak,sd,1.6,1.6,1.3,1.3,1.4,1.5,1.6,1.7,1.9,2
19,near peak,long,100,outbreak,meanlog,1.7,1.7,1.5,1.5,1.6,1.6,1.8,1.8,2,2.1
19,near peak,long,100,outbreak,sdlog,0.8,0.79,0.63,0.65,0.72,0.76,0.83,0.89,1,1.1
19,near peak,long,100,outbreak,mean,8,7.5,5.5,5.7,6.4,7,8.1,9.1,12,14
19,near peak,long,100,outbreak,sd,8,7,4,4.3,5.3,6.2,8.1,9.8,15,19
20,near peak,medium,100,outbreak,meanlog,1.8,1.8,1.6,1.6,1.7,1.7,1.8,1.9,2,2.1
20,near peak,medium,100,outbreak,sdlog,0.66,0.65,0.53,0.54,0.59,0.62,0.68,0.71,0.8,0.85
20,near peak,medium,100,outbreak,mean,7.4,7.1,5.8,6,6.5,6.8,7.5,8.1,9.9,11
20,near peak,medium,100,outbreak,sd,5.6,5.1,3.4,3.6,4.2,4.7,5.7,6.5,9.2,11
21,near peak,short,100,outbreak,meanlog,1.2,1.2,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.3
21,near peak,short,100,outbreak,sdlog,0.4,0.4,0.33,0.34,0.37,0.38,0.41,0.43,0.47,0.48
21,near peak,short,100,outbreak,mean,3.6,3.5,3.2,3.3,3.4,3.5,3.6,3.7,3.9,3.9
21,near peak,short,100,outbreak,sd,1.5,1.5,1.2,1.2,1.3,1.4,1.5,1.6,1.9,2
22,past peak,long,100,outbreak,meanlog,1.8,1.8,1.6,1.6,1.7,1.7,1.8,1.8,1.9,1.9
22,past peak,long,100,outbreak,sdlog,0.71,0.7,0.59,0.6,0.65,0.68,0.73,0.77,0.84,0.87
22,past peak,long,100,outbreak,mean,7.5,7.4,6.2,6.4,6.8,7.1,7.7,8.2,9.1,9.7
22,past peak,long,100,outbreak,sd,6.2,5.9,4.2,4.4,5,5.4,6.5,7.2,8.9,9.8
23,past peak,medium,100,outbreak,meanlog,1.7,1.7,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8
23,past peak,medium,100,outbreak,sdlog,0.66,0.66,0.55,0.56,0.6,0.63,0.68,0.71,0.78,0.8
23,past peak,medium,100,outbreak,mean,6.6,6.6,5.6,5.7,6.1,6.3,6.8,7.1,7.8,8.2
23,past peak,medium,100,outbreak,sd,5,4.8,3.5,3.6,4.1,4.5,5.2,5.7,6.9,7.6
24,past peak,short,100,outbreak,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.3
24,past peak,short,100,outbreak,sdlog,0.38,0.38,0.32,0.33,0.35,0.37,0.39,0.41,0.44,0.46
24,past peak,short,100,outbreak,mean,3.6,3.6,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4
24,past peak,short,100,outbreak,sd,1.4,1.4,1.2,1.2,1.3,1.4,1.5,1.6,1.7,1.8
25,early outbreak,long,1000,outbreak,meanlog,1.8,1.8,1.6,1.6,1.7,1.8,1.8,1.9,2.1,2.1
25,early outbreak,long,1000,outbreak,sdlog,0.77,0.76,0.66,0.67,0.71,0.74,0.78,0.82,0.89,0.92
25,early outbreak,long,1000,outbreak,mean,8.4,8.1,6.3,6.5,7.2,7.6,8.6,9.4,11,13
25,early outbreak,long,1000,outbreak,sd,7.7,7.1,4.7,5,5.8,6.5,7.9,9.1,12,15
26,early outbreak,medium,1000,outbreak,meanlog,1.5,1.5,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.6
26,early outbreak,medium,1000,outbreak,sdlog,0.55,0.54,0.49,0.5,0.52,0.53,0.56,0.57,0.6,0.61
