id,scenario,distribution,sample_size,data_type,replicate,obs_type,parameter,mean,median,q2.5,q5,q20,q35,q65,q80,q95,q97.5
93,decay,short,200,exponential,5,,meanlog,1.2,1.2,1,1,1.1,1.1,1.2,1.3,1.3,1.3
94,decay,short,200,exponential,6,,meanlog,1.2,1.2,1,1.1,1.1,1.2,1.3,1.3,1.4,1.4
95,decay,short,200,exponential,7,,meanlog,1.1,1.2,0.95,0.97,1,1.1,1.2,1.2,1.3,1.3
96,decay,short,200,exponential,8,,meanlog,1.2,1.2,1,1,1.1,1.2,1.2,1.3,1.3,1.4
97,decay,short,200,exponential,9,,meanlog,1.2,1.2,1,1,1.1,1.1,1.2,1.3,1.3,1.4
98,decay,short,200,exponential,10,,meanlog,1.2,1.2,1.1,1.1,1.1,1.2,1.3,1.3,1.4,1.4
99,decay,short,200,exponential,11,,meanlog,1.2,1.2,0.99,1,1.1,1.1,1.2,1.3,1.3,1.3
100,decay,short,200,exponential,12,,meanlog,1.2,1.2,1,1,1.1,1.1,1.2,1.3,1.3,1.3
101,decay,short,200,exponential,13,,meanlog,1.2,1.2,1,1.1,1.1,1.2,1.3,1.3,1.4,1.4
102,decay,short,200,exponential,14,,meanlog,1.2,1.2,1,1,1.1,1.2,1.3,1.3,1.4,1.4
103,decay,short,200,exponential,15,,meanlog,1.2,1.2,1,1.1,1.1,1.2,1.3,1.3,1.4,1.4
104,decay,short,200,exponential,16,,meanlog,1.2,1.2,0.98,1,1.1,1.1,1.2,1.3,1.3,1.3
105,decay,short,200,exponential,17,,meanlog,1.2,1.2,0.99,1,1.1,1.1,1.2,1.3,1.3,1.3
106,decay,short,200,exponential,18,,meanlog,1.2,1.2,1,1,1.1,1.1,1.2,1.3,1.3,1.4
107,decay,short,200,exponential,19,,meanlog,1.2,1.2,0.99,1,1.1,1.1,1.2,1.3,1.3,1.3
108,decay,short,200,exponential,20,,meanlog,1.2,1.2,0.99,1,1.1,1.1,1.2,1.3,1.3,1.3
109,fast decay,long,200,exponential,1,,meanlog,1.7,1.7,1.6,1.6,1.7,1.7,1.8,1.8,1.9,1.9
110,fast decay,long,200,exponential,2,,meanlog,1.7,1.7,1.5,1.6,1.6,1.7,1.7,1.8,1.8,1.9
111,fast decay,long,200,exponential,3,,meanlog,1.8,1.8,1.7,1.7,1.8,1.8,1.9,1.9,2,2
112,fast decay,long,200,exponential,4,,meanlog,1.9,1.9,1.7,1.8,1.8,1.9,1.9,2,2.1,2.1
113,fast decay,long,200,exponential,5,,meanlog,1.7,1.7,1.5,1.6,1.6,1.7,1.7,1.8,1.8,1.9
114,fast decay,long,200,exponential,6,,meanlog,1.8,1.8,1.7,1.7,1.7,1.8,1.8,1.9,1.9,2
115,fast decay,long,200,exponential,7,,meanlog,1.9,1.9,1.7,1.7,1.8,1.8,1.9,1.9,2,2
116,fast decay,long,200,exponential,8,,meanlog,1.9,1.9,1.7,1.7,1.8,1.8,1.9,1.9,2,2
117,fast decay,long,200,exponential,9,,meanlog,1.7,1.7,1.5,1.5,1.6,1.7,1.7,1.8,1.8,1.8
118,fast decay,long,200,exponential,10,,meanlog,1.9,1.9,1.7,1.7,1.8,1.8,1.9,1.9,2,2
119,fast decay,long,200,exponential,11,,meanlog,1.8,1.8,1.6,1.6,1.7,1.7,1.8,1.8,1.9,1.9
120,fast decay,long,200,exponential,12,,meanlog,1.9,1.9,1.7,1.7,1.8,1.8,1.9,1.9,2,2
121,fast decay,long,200,exponential,13,,meanlog,1.8,1.8,1.6,1.7,1.7,1.8,1.8,1.9,2,2
122,fast decay,long,200,exponential,14,,meanlog,1.9,1.9,1.7,1.7,1.8,1.9,1.9,2,2,2.1
123,fast decay,long,200,exponential,15,,meanlog,1.7,1.7,1.6,1.6,1.7,1.7,1.8,1.8,1.9,1.9
124,fast decay,long,200,exponential,16,,meanlog,1.9,1.9,1.8,1.8,1.9,1.9,2,2,2.1,2.1
125,fast decay,long,200,exponential,17,,meanlog,1.9,1.9,1.7,1.8,1.8,1.9,1.9,2,2.1,2.1
126,fast decay,long,200,exponential,18,,meanlog,1.9,1.9,1.8,1.8,1.9,1.9,2,2,2.1,2.1
127,fast decay,long,200,exponential,19,,meanlog,1.8,1.8,1.6,1.6,1.7,1.7,1.8,1.9,1.9,1.9
128,fast decay,long,200,exponential,20,,meanlog,1.8,1.8,1.6,1.6,1.7,1.7,1.8,1.8,1.9,1.9
129,fast decay,medium,200,exponential,1,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8
130,fast decay,medium,200,exponential,2,,meanlog,1.6,1.6,1.5,1.5,1.5,1.6,1.6,1.7,1.7,1.7
131,fast decay,medium,200,exponential,3,,meanlog,1.5,1.5,1.4,1.4,1.4,1.5,1.6,1.6,1.7,1.7
132,fast decay,medium,200,exponential,4,,meanlog,1.7,1.7,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8
133,fast decay,medium,200,exponential,5,,meanlog,1.5,1.5,1.4,1.4,1.4,1.5,1.6,1.6,1.7,1.7
134,fast decay,medium,200,exponential,6,,meanlog,1.6,1.6,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.7
135,fast decay,medium,200,exponential,7,,meanlog,1.6,1.6,1.5,1.5,1.5,1.6,1.7,1.7,1.7,1.8
136,fast decay,medium,200,exponential,8,,meanlog,1.6,1.6,1.5,1.5,1.5,1.6,1.6,1.7,1.7,1.7
137,fast decay,medium,200,exponential,9,,meanlog,1.6,1.6,1.5,1.5,1.5,1.6,1.7,1.7,1.7,1.8
138,fast decay,medium,200,exponential,10,,meanlog,1.6,1.6,1.5,1.5,1.5,1.6,1.6,1.7,1.7,1.7
139,fast decay,medium,200,exponential,11,,meanlog,1.6,1.6,1.4,1.5,1.5,1.6,1.6,1.7,1.7,1.7
140,fast decay,medium,200,exponential,12,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8
141,fast decay,medium,200,exponential,13,,meanlog,1.6,1.6,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.7
142,fast decay,medium,200,exponential,14,,meanlog,1.7,1.7,1.5,1.6,1.6,1.7,1.7,1.8,1.8,1.8
143,fast decay,medium,200,exponential,15,,meanlog,1.5,1.5,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.7
144,fast decay,medium,200,exponential,16,,meanlog,1.7,1.7,1.5,1.6,1.6,1.7,1.7,1.7,1.8,1.8
145,fast decay,medium,200,exponential,17,,meanlog,1.6,1.6,1.4,1.5,1.5,1.6,1.6,1.7,1.7,1.7
146,fast decay,medium,200,exponential,18,,meanlog,1.6,1.6,1.4,1.5,1.5,1.6,1.6,1.7,1.7,1.7
147,fast decay,medium,200,exponential,19,,meanlog,1.6,1.7,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8
148,fast decay,medium,200,exponential,20,,meanlog,1.7,1.7,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8
149,fast decay,short,200,exponential,1,,meanlog,1.2,1.2,0.97,0.99,1.1,1.1,1.2,1.3,1.3,1.3
150,fast decay,short,200,exponential,2,,meanlog,1.2,1.2,1,1,1.1,1.2,1.3,1.3,1.3,1.4
151,fast decay,short,200,exponential,3,,meanlog,1.2,1.2,0.98,1,1.1,1.1,1.2,1.3,1.3,1.3
152,fast decay,short,200,exponential,4,,meanlog,1.2,1.2,0.97,0.99,1.1,1.1,1.2,1.3,1.3,1.3
153,fast decay,short,200,exponential,5,,meanlog,1.1,1.1,0.87,0.9,0.97,1,1.1,1.2,1.2,1.3
154,fast decay,short,200,exponential,6,,meanlog,1.2,1.2,0.98,1,1.1,1.1,1.2,1.3,1.3,1.3
155,fast decay,short,200,exponential,7,,meanlog,1.2,1.2,1,1,1.1,1.1,1.2,1.3,1.3,1.4
156,fast decay,short,200,exponential,8,,meanlog,1.2,1.2,1,1,1.1,1.1,1.2,1.3,1.3,1.4
157,fast decay,short,200,exponential,9,,meanlog,1.2,1.2,1,1,1.1,1.2,1.3,1.3,1.3,1.4
158,fast decay,short,200,exponential,10,,meanlog,1.2,1.2,1,1,1.1,1.1,1.2,1.3,1.3,1.3
159,fast decay,short,200,exponential,11,,meanlog,1.2,1.2,1.1,1.1,1.1,1.2,1.3,1.3,1.4,1.4
160,fast decay,short,200,exponential,12,,meanlog,1.2,1.2,0.97,0.99,1.1,1.1,1.2,1.3,1.3,1.3
161,fast decay,short,200,exponential,13,,meanlog,1.2,1.2,1.1,1.1,1.1,1.2,1.3,1.3,1.4,1.4
162,fast decay,short,200,exponential,14,,meanlog,1.2,1.2,0.96,0.99,1.1,1.1,1.2,1.3,1.3,1.3
163,fast decay,short,200,exponential,15,,meanlog,1.2,1.2,0.97,0.99,1.1,1.1,1.2,1.3,1.3,1.3
164,fast decay,short,200,exponential,16,,meanlog,1.2,1.2,0.97,0.99,1.1,1.1,1.2,1.3,1.3,1.3
165,fast decay,short,200,exponential,17,,meanlog,1.2,1.2,1.1,1.1,1.1,1.2,1.3,1.3,1.4,1.4
166,fast decay,short,200,exponential,18,,meanlog,1.2,1.2,0.99,1,1.1,1.1,1.2,1.3,1.3,1.3
167,fast decay,short,200,exponential,19,,meanlog,1.2,1.2,0.98,1,1.1,1.1,1.2,1.3,1.3,1.3
168,fast decay,short,200,exponential,20,,meanlog,1.2,1.2,0.99,1,1.1,1.1,1.2,1.3,1.3,1.3
169,fast growth,long,200,exponential,1,,meanlog,1.8,1.8,1.5,1.5,1.6,1.7,1.8,1.9,2,2.1
