id,scenario,distribution,sample_size,data_type,replicate,obs_type,parameter,mean,median,q2.5,q5,q20,q35,q65,q80,q95,q97.5
167,fast decay,short,200,exponential,19,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2
168,fast decay,short,200,exponential,20,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2
169,fast growth,long,200,exponential,1,,meanlog,1.8,1.8,1.6,1.6,1.7,1.7,1.9,1.9,2.1,2.2
170,fast growth,long,200,exponential,2,,meanlog,1.7,1.7,1.5,1.5,1.6,1.6,1.7,1.8,1.9,1.9
171,fast growth,long,200,exponential,3,,meanlog,2,2,1.7,1.8,1.9,1.9,2.1,2.2,2.4,2.5
172,fast growth,long,200,exponential,4,,meanlog,1.7,1.7,1.5,1.5,1.6,1.7,1.8,1.8,2,2
173,fast growth,long,200,exponential,5,,meanlog,1.9,1.9,1.7,1.7,1.8,1.9,2,2.1,2.2,2.3
174,fast growth,long,200,exponential,6,,meanlog,1.8,1.8,1.6,1.6,1.7,1.8,1.9,2,2.1,2.2
175,fast growth,long,200,exponential,7,,meanlog,1.8,1.8,1.6,1.6,1.7,1.7,1.9,2,2.2,2.2
176,fast growth,long,200,exponential,8,,meanlog,2.3,2.2,1.8,1.8,2,2.1,2.3,2.5,3,3.2
177,fast growth,long,200,exponential,9,,meanlog,1.9,1.8,1.6,1.7,1.7,1.8,1.9,2,2.1,2.2
178,fast growth,long,200,exponential,10,,meanlog,1.7,1.7,1.5,1.5,1.6,1.7,1.8,1.8,2,2.1
179,fast growth,long,200,exponential,11,,meanlog,1.8,1.8,1.6,1.6,1.7,1.8,1.9,2,2.1,2.2
180,fast growth,long,200,exponential,12,,meanlog,1.8,1.8,1.6,1.6,1.7,1.8,1.9,1.9,2.1,2.2
181,fast growth,long,200,exponential,13,,meanlog,1.8,1.8,1.6,1.6,1.7,1.8,1.9,2,2.1,2.2
182,fast growth,long,200,exponential,14,,meanlog,2,2,1.7,1.7,1.8,1.9,2,2.1,2.4,2.5
183,fast growth,long,200,exponential,15,,meanlog,1.8,1.8,1.6,1.6,1.7,1.8,1.9,1.9,2.1,2.1
184,fast growth,long,200,exponential,16,,meanlog,1.8,1.8,1.6,1.6,1.7,1.8,1.9,1.9,2.1,2.2
185,fast growth,long,200,exponential,17,,meanlog,2.1,2,1.7,1.7,1.9,1.9,2.1,2.3,2.6,2.9
186,fast growth,long,200,exponential,18,,meanlog,1.8,1.8,1.6,1.6,1.7,1.7,1.8,1.9,2.1,2.2
187,fast growth,long,200,exponential,19,,meanlog,1.8,1.8,1.6,1.6,1.7,1.7,1.9,1.9,2.1,2.2
188,fast growth,long,200,exponential,20,,meanlog,2.1,2.1,1.7,1.8,1.9,2,2.2,2.3,2.6,2.8
189,fast growth,medium,200,exponential,1,,meanlog,1.7,1.7,1.6,1.6,1.6,1.7,1.7,1.8,1.9,1.9
190,fast growth,medium,200,exponential,2,,meanlog,1.6,1.5,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.7
191,fast growth,medium,200,exponential,3,,meanlog,1.7,1.6,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.9
192,fast growth,medium,200,exponential,4,,meanlog,1.6,1.6,1.4,1.5,1.5,1.6,1.6,1.6,1.7,1.8
193,fast growth,medium,200,exponential,5,,meanlog,1.5,1.5,1.4,1.4,1.5,1.5,1.5,1.6,1.7,1.7
194,fast growth,medium,200,exponential,6,,meanlog,1.8,1.8,1.6,1.6,1.7,1.7,1.8,1.8,1.9,1.9
195,fast growth,medium,200,exponential,7,,meanlog,1.8,1.8,1.6,1.6,1.7,1.8,1.9,1.9,2.1,2.1
196,fast growth,medium,200,exponential,8,,meanlog,1.8,1.8,1.6,1.6,1.7,1.7,1.8,1.8,1.9,2
197,fast growth,medium,200,exponential,9,,meanlog,1.6,1.6,1.5,1.5,1.5,1.5,1.6,1.6,1.7,1.7
198,fast growth,medium,200,exponential,10,,meanlog,1.7,1.7,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.9
199,fast growth,medium,200,exponential,11,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8
200,fast growth,medium,200,exponential,12,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.6,1.7,1.8,1.8
201,fast growth,medium,200,exponential,13,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.9
202,fast growth,medium,200,exponential,14,,meanlog,1.7,1.6,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8
203,fast growth,medium,200,exponential,15,,meanlog,1.6,1.6,1.4,1.5,1.5,1.5,1.6,1.7,1.8,1.8
204,fast growth,medium,200,exponential,16,,meanlog,1.6,1.6,1.5,1.5,1.5,1.6,1.6,1.6,1.7,1.7
205,fast growth,medium,200,exponential,17,,meanlog,1.5,1.5,1.4,1.4,1.5,1.5,1.6,1.6,1.6,1.7
206,fast growth,medium,200,exponential,18,,meanlog,1.7,1.7,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.9
207,fast growth,medium,200,exponential,19,,meanlog,1.6,1.6,1.4,1.5,1.5,1.5,1.6,1.6,1.7,1.7
208,fast growth,medium,200,exponential,20,,meanlog,1.6,1.6,1.5,1.5,1.5,1.6,1.6,1.7,1.8,1.8
209,fast growth,short,200,exponential,1,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.3
210,fast growth,short,200,exponential,2,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.3
211,fast growth,short,200,exponential,3,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.3
212,fast growth,short,200,exponential,4,,meanlog,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3
213,fast growth,short,200,exponential,5,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.3
214,fast growth,short,200,exponential,6,,meanlog,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3
215,fast growth,short,200,exponential,7,,meanlog,1.3,1.3,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.4
216,fast growth,short,200,exponential,8,,meanlog,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3
217,fast growth,short,200,exponential,9,,meanlog,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3
218,fast growth,short,200,exponential,10,,meanlog,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3
219,fast growth,short,200,exponential,11,,meanlog,1.2,1.2,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2
220,fast growth,short,200,exponential,12,,meanlog,1.2,1.2,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2
