scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,min_ess_bulk,min_ess_tail,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time
decay,short,200,exponential,100,12,,4000,1,1237.25,1023,0,0,6,8,0.002,6.9
decay,short,200,exponential,101,13,,4000,1,1431.92,1134,0,0,6,4,0.001,7.7
decay,short,200,exponential,102,14,,4000,1,1326.42,1091,0,0,6,11,0.00275,7.2
decay,short,200,exponential,103,15,,4000,1,1548.7,1361,0,0,6,6,0.0015,7.1
decay,short,200,exponential,104,16,,4000,1,1328.72,1131,0,0,6,3,0.00075,7.5
decay,short,200,exponential,105,17,,3000,1,919.06,786,0,0,5,329,0.109666666666667,6
decay,short,200,exponential,106,18,,4000,1,1333.8,887,0,0,6,3,0.00075,6.8
decay,short,200,exponential,107,19,,4000,1,1167.95,924,0,0,6,2,5e-04,8.1
decay,short,200,exponential,108,20,,3000,1,1005.17,875,0,0,6,5,0.00166666666666667,6.9
fast decay,long,200,exponential,109,1,,4000,1,1481.83,1052,0,0,5,155,0.03875,4.9
fast decay,long,200,exponential,110,2,,3000,1,998.56,700,0,0,6,1,0.000333333333333333,5.5
fast decay,long,200,exponential,111,3,,3000,1,681.89,690,0,0,5,175,0.0583333333333333,5.1
fast decay,long,200,exponential,112,4,,4000,1,1327.49,1122,0,0,5,26,0.0065,4.3
fast decay,long,200,exponential,113,5,,4000,1,1445.51,1316,0,0,5,132,0.033,5.1
fast decay,long,200,exponential,114,6,,4000,1,1311.44,1071,0,0,6,1,0.00025,5
fast decay,long,200,exponential,115,7,,4000,1,1361.78,764,0,0,5,172,0.043,5.1
fast decay,long,200,exponential,116,8,,4000,1,1077.36,593,0,0,5,272,0.068,5
fast decay,long,200,exponential,117,9,,4000,1,1187.18,1011,0,0,5,81,0.02025,4.9
fast decay,long,200,exponential,118,10,,4000,1,1252.61,1000,0,0,5,76,0.019,4.4
fast decay,long,200,exponential,119,11,,4000,1,1574.34,808,0,0,5,134,0.0335,4.7
fast decay,long,200,exponential,120,12,,4000,1,1378.75,923,0,0,5,112,0.028,4.9
fast decay,long,200,exponential,121,13,,4000,1,1209.96,1326,0,0,5,126,0.0315,4.8
fast decay,long,200,exponential,122,14,,4000,1,1556.72,1316,0,0,5,49,0.01225,4.6
fast decay,long,200,exponential,123,15,,4000,1,1514.59,1223,0,0,5,12,0.003,4.5
fast decay,long,200,exponential,124,16,,4000,1,1456.85,971,0,0,6,4,0.001,5.6
fast decay,long,200,exponential,125,17,,4000,1,1393.99,944,0,0,6,6,0.0015,5.9
fast decay,long,200,exponential,126,18,,3000,1,1032.83,812,0,0,5,68,0.0226666666666667,4.8
fast decay,long,200,exponential,127,19,,4000,1,1667.9,1564,0,0,5,38,0.0095,4.8
fast decay,long,200,exponential,128,20,,4000,1,1552.33,1123,0,0,5,243,0.06075,5.3
fast decay,medium,200,exponential,129,1,,3000,1,1022.75,699,0,0,5,16,0.00533333333333333,3.7
fast decay,medium,200,exponential,130,2,,4000,1,1470.85,1220,0,0,5,48,0.012,4.9
fast decay,medium,200,exponential,131,3,,4000,1,1217.39,813,0,0,6,2,5e-04,6.4
fast decay,medium,200,exponential,132,4,,4000,1,1271.84,1213,0,0,5,59,0.01475,4.9
fast decay,medium,200,exponential,133,5,,4000,1,1336.87,824,0,0,6,1,0.00025,5.5
fast decay,medium,200,exponential,134,6,,4000,1,1236.02,1448,0,0,5,74,0.0185,5.1
fast decay,medium,200,exponential,135,7,,4000,1,1714.34,1409,0,0,5,25,0.00625,4.9
fast decay,medium,200,exponential,136,8,,4000,1,1574.97,1446,0,0,5,55,0.01375,4.2
fast decay,medium,200,exponential,137,9,,4000,1,1271.41,1163,0,0,5,32,0.008,5
fast decay,medium,200,exponential,138,10,,4000,1,1449.58,977,0,0,5,46,0.0115,5.1
fast decay,medium,200,exponential,139,11,,4000,1,1583.83,1604,0,0,5,71,0.01775,4
fast decay,medium,200,exponential,140,12,,4000,1,1078.99,604,0,0,5,251,0.06275,5
fast decay,medium,200,exponential,141,13,,4000,1,1639.19,1455,0,0,5,217,0.05425,5.7
fast decay,medium,200,exponential,142,14,,4000,1,1165.14,773,0,0,6,2,5e-04,5.3
fast decay,medium,200,exponential,143,15,,4000,1,1363.8,1024,0,0,5,98,0.0245,4.6
fast decay,medium,200,exponential,144,16,,4000,1,1490.28,1400,0,0,5,30,0.0075,4.6
fast decay,medium,200,exponential,145,17,,4000,1,1485.66,1318,0,0,5,50,0.0125,4.4
fast decay,medium,200,exponential,146,18,,4000,1,1443.09,1489,0,0,5,27,0.00675,4.5
fast decay,medium,200,exponential,147,19,,4000,1,1157.76,845,0,0,5,445,0.11125,4.9
fast decay,medium,200,exponential,148,20,,4000,1,1573.84,1239,0,0,5,44,0.011,4.4
fast decay,short,200,exponential,149,1,,4000,1,962.14,654,0,0,5,277,0.06925,5.5
fast decay,short,200,exponential,150,2,,4000,1,1260.44,906,0,0,6,4,0.001,6.2
fast decay,short,200,exponential,151,3,,4000,1,1541.2,1142,0,0,5,44,0.011,5.1
fast decay,short,200,exponential,152,4,,4000,1,1267.53,535,0,0,5,46,0.0115,4.9
fast decay,short,200,exponential,153,5,,4000,1,1369.51,1163,0,0,5,41,0.01025,4.2
fast decay,short,200,exponential,154,6,,4000,1,1341.38,745,0,0,5,79,0.01975,4.4
fast decay,short,200,exponential,155,7,,3000,1,997.59,772,0,0,5,34,0.0113333333333333,4.5
fast decay,short,200,exponential,156,8,,4000,1,1294.25,1301,0,0,5,74,0.0185,5.3
fast decay,short,200,exponential,157,9,,4000,1,1130.44,727,0,0,5,149,0.03725,5.6
fast decay,short,200,exponential,158,10,,4000,1,1301.29,1326,0,0,5,68,0.017,4.3
fast decay,short,200,exponential,159,11,,4000,1,1614.77,1321,0,0,5,93,0.02325,5
fast decay,short,200,exponential,160,12,,4000,1,1329.6,1285,0,0,5,51,0.01275,4.8
fast decay,short,200,exponential,161,13,,3000,1,871,1246,0,0,6,1,0.000333333333333333,5.8
fast decay,short,200,exponential,162,14,,4000,1,1630.51,1299,0,0,5,16,0.004,5.7
fast decay,short,200,exponential,163,15,,4000,1,1356.5,1045,0,0,5,12,0.003,5.4
fast decay,short,200,exponential,164,16,,4000,1,1199.09,1497,0,0,5,228,0.057,6.1
fast decay,short,200,exponential,165,17,,4000,1,1157.58,1346,0,0,5,33,0.00825,5.2
fast decay,short,200,exponential,166,18,,4000,1,1572.49,1378,0,0,5,17,0.00425,4.6
fast decay,short,200,exponential,167,19,,4000,1,1260,745,0,0,5,88,0.022,5.1
fast decay,short,200,exponential,168,20,,4000,1,1359.42,1312,0,0,5,23,0.00575,5.3
fast growth,long,200,exponential,169,1,,4000,1,1161.16,1119,0,0,7,59,0.01475,13.3
fast growth,long,200,exponential,170,2,,4000,1,1033.28,702,0,0,7,65,0.01625,14.5
fast growth,long,200,exponential,171,3,,4000,1,644.15,231,0,0,7,110,0.0275,15.3
fast growth,long,200,exponential,172,4,,4000,1,792.15,918,0,0,7,226,0.0565,15.6
