scenario,distribution,sample_size,data_type,id,replicate,obs_type,error
past peak,medium,100,outbreak,23,1,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
past peak,short,100,outbreak,24,1,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
early outbreak,long,200,outbreak,25,1,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
early outbreak,medium,200,outbreak,26,1,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
early outbreak,short,200,outbreak,27,1,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
late outbreak,long,200,outbreak,28,1,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
late outbreak,medium,200,outbreak,29,1,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
late outbreak,short,200,outbreak,30,1,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
near peak,long,200,outbreak,31,1,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
near peak,medium,200,outbreak,32,1,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
near peak,short,200,outbreak,33,1,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
past peak,long,200,outbreak,34,1,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
past peak,medium,200,outbreak,35,1,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
past peak,short,200,outbreak,36,1,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
early outbreak,long,400,outbreak,37,1,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
early outbreak,medium,400,outbreak,38,1,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
early outbreak,short,400,outbreak,39,1,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
late outbreak,long,400,outbreak,40,1,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
late outbreak,medium,400,outbreak,41,1,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
late outbreak,short,400,outbreak,42,1,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
near peak,long,400,outbreak,43,1,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
near peak,medium,400,outbreak,44,1,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
near peak,short,400,outbreak,45,1,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
past peak,long,400,outbreak,46,1,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
past peak,medium,400,outbreak,47,1,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
past peak,short,400,outbreak,48,1,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,long,200,exponential,49,1,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,long,200,exponential,50,2,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,long,200,exponential,51,3,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,long,200,exponential,52,4,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,long,200,exponential,53,5,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,long,200,exponential,54,6,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,long,200,exponential,55,7,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,long,200,exponential,56,8,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,long,200,exponential,57,9,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,long,200,exponential,58,10,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,long,200,exponential,59,11,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,long,200,exponential,60,12,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,long,200,exponential,61,13,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,long,200,exponential,62,14,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,long,200,exponential,63,15,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,long,200,exponential,64,16,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,long,200,exponential,65,17,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,long,200,exponential,66,18,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,long,200,exponential,67,19,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,long,200,exponential,68,20,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,medium,200,exponential,69,1,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,medium,200,exponential,70,2,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,medium,200,exponential,71,3,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,medium,200,exponential,72,4,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,medium,200,exponential,73,5,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,medium,200,exponential,74,6,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,medium,200,exponential,75,7,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,medium,200,exponential,76,8,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,medium,200,exponential,77,9,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,medium,200,exponential,78,10,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,medium,200,exponential,79,11,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,medium,200,exponential,80,12,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,medium,200,exponential,81,13,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,medium,200,exponential,82,14,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,medium,200,exponential,83,15,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,medium,200,exponential,84,16,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,medium,200,exponential,85,17,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,medium,200,exponential,86,18,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,medium,200,exponential,87,19,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,medium,200,exponential,88,20,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,short,200,exponential,89,1,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,short,200,exponential,90,2,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,short,200,exponential,91,3,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,short,200,exponential,92,4,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,short,200,exponential,93,5,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,short,200,exponential,94,6,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,short,200,exponential,95,7,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,short,200,exponential,96,8,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,short,200,exponential,97,9,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,short,200,exponential,98,10,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,short,200,exponential,99,11,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,short,200,exponential,100,12,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,short,200,exponential,101,13,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,short,200,exponential,102,14,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,short,200,exponential,103,15,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,short,200,exponential,104,16,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,short,200,exponential,105,17,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,short,200,exponential,106,18,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,short,200,exponential,107,19,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
decay,short,200,exponential,108,20,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,long,200,exponential,109,1,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,long,200,exponential,110,2,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,long,200,exponential,111,3,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,long,200,exponential,112,4,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,long,200,exponential,113,5,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,long,200,exponential,114,6,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,long,200,exponential,115,7,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,long,200,exponential,116,8,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,long,200,exponential,117,9,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,long,200,exponential,118,10,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,long,200,exponential,119,11,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,long,200,exponential,120,12,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,long,200,exponential,121,13,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,long,200,exponential,122,14,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,long,200,exponential,123,15,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,long,200,exponential,124,16,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,long,200,exponential,125,17,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,long,200,exponential,126,18,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,long,200,exponential,127,19,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,long,200,exponential,128,20,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,medium,200,exponential,129,1,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,medium,200,exponential,130,2,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,medium,200,exponential,131,3,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,medium,200,exponential,132,4,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,medium,200,exponential,133,5,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,medium,200,exponential,134,6,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,medium,200,exponential,135,7,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
