scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time
fast growth,medium,200,exponential,204,16,,4000,1.01,0,0,4,134,0.0335,2.7
fast growth,medium,200,exponential,205,17,,4000,1,0,0,4,194,0.0485,2.8
fast growth,medium,200,exponential,206,18,,4000,1,0,0,4,178,0.0445,3
fast growth,medium,200,exponential,207,19,,4000,1,0,0,4,209,0.05225,2.9
fast growth,medium,200,exponential,208,20,,4000,1,0,0,4,187,0.04675,2.9
fast growth,short,200,exponential,209,1,,4000,1,0,0,3,1333,0.33325,2.5
fast growth,short,200,exponential,210,2,,4000,1,10,0.0025,3,1560,0.39,2.6
fast growth,short,200,exponential,211,3,,4000,1,0,0,4,1,0.00025,2.7
fast growth,short,200,exponential,212,4,,4000,1,0,0,3,1386,0.3465,2.6
fast growth,short,200,exponential,213,5,,4000,1,0,0,3,1445,0.36125,2.6
fast growth,short,200,exponential,214,6,,4000,1,2,5e-04,3,1418,0.3545,2.6
fast growth,short,200,exponential,215,7,,4000,1.01,0,0,4,19,0.00475,2.7
fast growth,short,200,exponential,216,8,,4000,1,0,0,3,1493,0.37325,2.6
fast growth,short,200,exponential,217,9,,4000,1,0,0,3,1388,0.347,2.6
fast growth,short,200,exponential,218,10,,4000,1,4,0.001,3,1611,0.40275,2.6
fast growth,short,200,exponential,219,11,,4000,1,12,0.003,3,1502,0.3755,2.7
fast growth,short,200,exponential,220,12,,4000,1,1,0.00025,3,1606,0.4015,2.6
fast growth,short,200,exponential,221,13,,4000,1,10,0.0025,3,1446,0.3615,2.6
fast growth,short,200,exponential,222,14,,4000,1,5,0.00125,3,1262,0.3155,2.5
fast growth,short,200,exponential,223,15,,4000,1,0,0,3,1354,0.3385,2.6
fast growth,short,200,exponential,224,16,,4000,1,4,0.001,3,1593,0.39825,2.6
fast growth,short,200,exponential,225,17,,4000,1,0,0,3,1605,0.40125,2.6
fast growth,short,200,exponential,226,18,,4000,1,0,0,3,1471,0.36775,2.7
fast growth,short,200,exponential,227,19,,4000,1,0,0,3,1629,0.40725,2.6
fast growth,short,200,exponential,228,20,,4000,1,7,0.00175,3,1509,0.37725,2.6
growth,long,200,exponential,229,1,,4000,1,0,0,4,93,0.02325,2.6
growth,long,200,exponential,230,2,,4000,1.01,0,0,4,141,0.03525,3
growth,long,200,exponential,231,3,,4000,1,0,0,4,186,0.0465,2.9
growth,long,200,exponential,232,4,,4000,1,0,0,4,58,0.0145,2.6
growth,long,200,exponential,233,5,,4000,1,0,0,4,150,0.0375,2.8
growth,long,200,exponential,234,6,,4000,1,0,0,4,135,0.03375,2.9
growth,long,200,exponential,235,7,,4000,1,0,0,4,176,0.044,2.9
growth,long,200,exponential,236,8,,4000,1,0,0,4,130,0.0325,2.7
growth,long,200,exponential,237,9,,4000,1,0,0,4,155,0.03875,3
growth,long,200,exponential,238,10,,4000,1,0,0,4,131,0.03275,2.8
growth,long,200,exponential,239,11,,4000,1.01,0,0,4,188,0.047,2.8
growth,long,200,exponential,240,12,,4000,1,0,0,4,158,0.0395,2.9
growth,long,200,exponential,241,13,,4000,1,0,0,4,117,0.02925,2.7
growth,long,200,exponential,242,14,,4000,1,0,0,4,167,0.04175,2.8
growth,long,200,exponential,243,15,,4000,1,0,0,4,172,0.043,2.9
growth,long,200,exponential,244,16,,4000,1,0,0,4,149,0.03725,2.8
growth,long,200,exponential,245,17,,4000,1,0,0,4,149,0.03725,2.9
growth,long,200,exponential,246,18,,4000,1,0,0,4,109,0.02725,2.7
growth,long,200,exponential,247,19,,4000,1.01,0,0,4,155,0.03875,2.8
