scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time
growth,medium,200,exponential,251,3,,4000,1,0,0,3,1621,0.40525,0.4
growth,medium,200,exponential,252,4,,4000,1,0,0,3,1433,0.35825,0.4
growth,medium,200,exponential,253,5,,4000,1,0,0,3,1538,0.3845,0.4
growth,medium,200,exponential,254,6,,4000,1,0,0,3,1614,0.4035,0.5
growth,medium,200,exponential,255,7,,4000,1,0,0,3,1642,0.4105,0.4
growth,medium,200,exponential,256,8,,4000,1,0,0,3,1665,0.41625,0.3
growth,medium,200,exponential,257,9,,4000,1,0,0,3,1508,0.377,0.4
growth,medium,200,exponential,258,10,,4000,1,0,0,3,1719,0.42975,0.4
growth,medium,200,exponential,259,11,,4000,1,0,0,3,1555,0.38875,0.4
growth,medium,200,exponential,260,12,,4000,1,0,0,3,1649,0.41225,0.4
growth,medium,200,exponential,261,13,,4000,1,0,0,3,1653,0.41325,0.4
growth,medium,200,exponential,262,14,,4000,1,0,0,3,1681,0.42025,0.4
growth,medium,200,exponential,263,15,,4000,1,0,0,3,1835,0.45875,0.3
growth,medium,200,exponential,264,16,,4000,1,0,0,3,1715,0.42875,0.5
growth,medium,200,exponential,265,17,,4000,1,0,0,3,1653,0.41325,0.3
growth,medium,200,exponential,266,18,,4000,1,0,0,3,1624,0.406,0.3
growth,medium,200,exponential,267,19,,4000,1,0,0,3,1488,0.372,0.4
growth,medium,200,exponential,268,20,,4000,1,0,0,3,1844,0.461,0.4
growth,short,200,exponential,269,1,,4000,1,0,0,3,1526,0.3815,0.4
growth,short,200,exponential,270,2,,4000,1,0,0,3,1760,0.44,0.4
growth,short,200,exponential,271,3,,4000,1,0,0,3,1685,0.42125,0.3
growth,short,200,exponential,272,4,,4000,1.01,0,0,3,1554,0.3885,0.3
growth,short,200,exponential,273,5,,4000,1,0,0,3,1493,0.37325,0.3
growth,short,200,exponential,274,6,,4000,1,0,0,3,1609,0.40225,0.3
growth,short,200,exponential,275,7,,4000,1,0,0,3,1575,0.39375,0.3
growth,short,200,exponential,276,8,,4000,1,0,0,3,1630,0.4075,0.4
growth,short,200,exponential,277,9,,4000,1,0,0,3,1599,0.39975,0.3
growth,short,200,exponential,278,10,,4000,1,0,0,3,1595,0.39875,0.4
growth,short,200,exponential,279,11,,4000,1,0,0,3,1603,0.40075,0.4
growth,short,200,exponential,280,12,,4000,1,0,0,3,1693,0.42325,0.4
growth,short,200,exponential,281,13,,4000,1,0,0,3,1509,0.37725,0.3
growth,short,200,exponential,282,14,,4000,1,0,0,3,1811,0.45275,0.3
growth,short,200,exponential,283,15,,4000,1,0,0,3,1720,0.43,0.3
growth,short,200,exponential,284,16,,4000,1,0,0,3,1677,0.41925,0.3
growth,short,200,exponential,285,17,,4000,1,0,0,3,1733,0.43325,0.4
growth,short,200,exponential,286,18,,4000,1,0,0,3,1539,0.38475,0.3
growth,short,200,exponential,287,19,,4000,1,0,0,3,1768,0.442,0.4
growth,short,200,exponential,288,20,,4000,1,0,0,3,1698,0.4245,0.3
stable,long,200,exponential,289,1,,4000,1,0,0,3,1676,0.419,0.4
stable,long,200,exponential,290,2,,4000,1,0,0,3,1613,0.40325,0.4
stable,long,200,exponential,291,3,,4000,1,0,0,3,1573,0.39325,0.5
stable,long,200,exponential,292,4,,4000,1,0,0,3,1440,0.36,0.4
stable,long,200,exponential,293,5,,4000,1,0,0,3,1626,0.4065,0.4
stable,long,200,exponential,294,6,,4000,1,0,0,3,1667,0.41675,0.5
stable,long,200,exponential,295,7,,4000,1,0,0,3,1767,0.44175,0.4
stable,long,200,exponential,296,8,,4000,1,0,0,3,1514,0.3785,0.4
stable,long,200,exponential,297,9,,4000,1,0,0,3,1585,0.39625,0.4
stable,long,200,exponential,298,10,,4000,1,0,0,3,1551,0.38775,0.4
stable,long,200,exponential,299,11,,4000,1,0,0,3,1548,0.387,0.5
stable,long,200,exponential,300,12,,4000,1,0,0,3,1524,0.381,0.4
stable,long,200,exponential,301,13,,4000,1,0,0,3,1691,0.42275,0.4
stable,long,200,exponential,302,14,,4000,1,0,0,3,1575,0.39375,0.4
stable,long,200,exponential,303,15,,4000,1,0,0,3,1703,0.42575,0.4
stable,long,200,exponential,304,16,,4000,1,0,0,3,1612,0.403,0.4
stable,long,200,exponential,305,17,,4000,1,0,0,3,1703,0.42575,0.5
stable,long,200,exponential,306,18,,4000,1,0,0,3,1489,0.37225,0.4
stable,long,200,exponential,307,19,,4000,1,0,0,3,1540,0.385,0.4
stable,long,200,exponential,308,20,,4000,1,0,0,3,1551,0.38775,0.4
stable,medium,200,exponential,309,1,,4000,1,0,0,3,1628,0.407,0.5
stable,medium,200,exponential,310,2,,4000,1,0,0,3,1657,0.41425,0.5
stable,medium,200,exponential,311,3,,4000,1,0,0,3,1539,0.38475,0.4
stable,medium,200,exponential,312,4,,4000,1,0,0,3,1610,0.4025,0.4
stable,medium,200,exponential,313,5,,4000,1,0,0,3,1581,0.39525,0.4
stable,medium,200,exponential,314,6,,4000,1,0,0,3,1512,0.378,0.4
stable,medium,200,exponential,315,7,,4000,1,0,0,3,1693,0.42325,0.4
stable,medium,200,exponential,316,8,,4000,1,0,0,3,1511,0.37775,0.5
stable,medium,200,exponential,317,9,,4000,1,0,0,3,1812,0.453,0.4
stable,medium,200,exponential,318,10,,4000,1,0,0,3,1564,0.391,0.4
stable,medium,200,exponential,319,11,,4000,1,0,0,3,1600,0.4,0.4
stable,medium,200,exponential,320,12,,4000,1,0,0,3,1657,0.41425,0.5
