scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time
fast decay,short,200,exponential,153,17,,4000,1.01,0,0,5,4000,1,7.1
fast decay,short,200,exponential,154,18,,4000,1.01,0,0,5,3991,0.99775,7.2
fast decay,short,200,exponential,155,19,,4000,1.01,0,0,5,4000,1,7.2
fast decay,short,200,exponential,156,20,,4000,1.01,0,0,5,4000,1,7.3
fast growth,long,200,exponential,157,1,,4000,1.01,0,0,5,4000,1,9.7
fast growth,long,200,exponential,158,2,,4000,1.01,0,0,5,4000,1,12.7
fast growth,long,200,exponential,159,3,,4000,1.01,0,0,5,4000,1,12.4
fast growth,long,200,exponential,160,4,,4000,1.01,0,0,5,4000,1,6.2
fast growth,long,200,exponential,161,5,,4000,1.01,0,0,5,4000,1,6.1
fast growth,long,200,exponential,162,6,,4000,1.01,0,0,5,4000,1,6.2
fast growth,long,200,exponential,163,7,,4000,1.01,0,0,5,4000,1,6.2
fast growth,long,200,exponential,164,8,,4000,1.01,0,0,5,4000,1,6.3
fast growth,long,200,exponential,165,9,,4000,1.01,0,0,5,4000,1,6.1
fast growth,long,200,exponential,166,10,,4000,1.01,0,0,5,4000,1,6.2
fast growth,long,200,exponential,167,11,,4000,1.01,0,0,5,4000,1,6.3
fast growth,long,200,exponential,168,12,,4000,1.01,0,0,5,4000,1,6.4
fast growth,long,200,exponential,169,13,,4000,1.01,0,0,5,4000,1,6.2
fast growth,long,200,exponential,170,14,,4000,1.01,0,0,5,4000,1,7.8
fast growth,long,200,exponential,171,15,,4000,1.01,0,0,5,4000,1,5.9
fast growth,long,200,exponential,172,16,,4000,1.01,0,0,5,4000,1,6.2
fast growth,long,200,exponential,173,17,,4000,1.01,0,0,5,4000,1,6.1
fast growth,long,200,exponential,174,18,,4000,1.01,0,0,5,4000,1,6.3
fast growth,long,200,exponential,175,19,,4000,1.01,0,0,5,4000,1,6.2
fast growth,long,200,exponential,176,20,,4000,1.01,0,0,5,4000,1,11.9
fast growth,medium,200,exponential,177,1,,4000,1.01,0,0,5,3946,0.9865,6.1
fast growth,medium,200,exponential,178,2,,4000,1.01,0,0,5,4000,1,6.5
fast growth,medium,200,exponential,179,3,,4000,1.01,0,0,5,4000,1,6.2
fast growth,medium,200,exponential,180,4,,4000,1.01,0,0,5,4000,1,6.7
fast growth,medium,200,exponential,181,5,,4000,1.01,0,0,5,4000,1,6.1
fast growth,medium,200,exponential,182,6,,4000,1.01,0,0,5,4000,1,6.2
fast growth,medium,200,exponential,183,7,,4000,1.01,0,0,5,3998,0.9995,6.2
