scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time
fast growth,long,200,exponential,169,1,,4000,1,0,0,3,1480,0.37,1.1
fast growth,long,200,exponential,170,2,,4000,1,0,0,3,1592,0.398,1.1
fast growth,long,200,exponential,171,3,,4000,1,0,0,3,1747,0.43675,1.1
fast growth,long,200,exponential,172,4,,4000,1,0,0,3,1371,0.34275,1
fast growth,long,200,exponential,173,5,,4000,1,0,0,3,1705,0.42625,1
fast growth,long,200,exponential,174,6,,4000,1,0,0,3,1766,0.4415,1
fast growth,long,200,exponential,175,7,,4000,1,0,0,3,1573,0.39325,1.1
fast growth,long,200,exponential,176,8,,4000,1,0,0,3,1577,0.39425,1.1
fast growth,long,200,exponential,177,9,,4000,1,0,0,3,1475,0.36875,1
fast growth,long,200,exponential,178,10,,4000,1,0,0,3,1602,0.4005,1
fast growth,long,200,exponential,179,11,,4000,1,0,0,3,1562,0.3905,1.1
fast growth,long,200,exponential,180,12,,4000,1.01,0,0,3,1563,0.39075,1
fast growth,long,200,exponential,181,13,,4000,1,0,0,3,1567,0.39175,0.9
fast growth,long,200,exponential,182,14,,4000,1,0,0,3,1511,0.37775,1.1
fast growth,long,200,exponential,183,15,,4000,1,0,0,3,1565,0.39125,1.1
fast growth,long,200,exponential,184,16,,4000,1,0,0,3,1529,0.38225,1
fast growth,long,200,exponential,185,17,,4000,1,0,0,3,1742,0.4355,1.1
fast growth,long,200,exponential,186,18,,4000,1,0,0,3,1508,0.377,1.1
fast growth,long,200,exponential,187,19,,4000,1,0,0,3,1542,0.3855,1.1
fast growth,long,200,exponential,188,20,,4000,1,0,0,3,1603,0.40075,1.1
fast growth,medium,200,exponential,189,1,,4000,1,0,0,3,1668,0.417,1.1
fast growth,medium,200,exponential,190,2,,4000,1,0,0,3,1550,0.3875,1.1
fast growth,medium,200,exponential,191,3,,4000,1,0,0,3,1598,0.3995,1.1
fast growth,medium,200,exponential,192,4,,4000,1,0,0,3,1685,0.42125,1
fast growth,medium,200,exponential,193,5,,4000,1,0,0,3,1574,0.3935,1.1
fast growth,medium,200,exponential,194,6,,4000,1,0,0,3,1454,0.3635,1.1
fast growth,medium,200,exponential,195,7,,4000,1,0,0,3,1573,0.39325,1.1
fast growth,medium,200,exponential,196,8,,4000,1,0,0,3,1494,0.3735,1.1
fast growth,medium,200,exponential,197,9,,4000,1,0,0,3,1585,0.39625,1.1
fast growth,medium,200,exponential,198,10,,4000,1,0,0,3,1538,0.3845,1
fast growth,medium,200,exponential,199,11,,4000,1,0,0,3,1538,0.3845,1
fast growth,medium,200,exponential,200,12,,4000,1,0,0,3,1665,0.41625,1.1
fast growth,medium,200,exponential,201,13,,4000,1,0,0,3,1470,0.3675,1
fast growth,medium,200,exponential,202,14,,4000,1,0,0,3,1475,0.36875,1.1
fast growth,medium,200,exponential,203,15,,4000,1,0,0,3,1697,0.42425,1.1
fast growth,medium,200,exponential,204,16,,4000,1,0,0,3,1451,0.36275,1.1
fast growth,medium,200,exponential,205,17,,4000,1.01,0,0,3,1583,0.39575,1
fast growth,medium,200,exponential,206,18,,4000,1,0,0,3,1709,0.42725,1
fast growth,medium,200,exponential,207,19,,4000,1,0,0,3,1278,0.3195,1.1
fast growth,medium,200,exponential,208,20,,4000,1,0,0,3,1529,0.38225,1.1
fast growth,short,200,exponential,209,1,,4000,1,0,0,3,1448,0.362,1.1
fast growth,short,200,exponential,210,2,,4000,1,0,0,3,1086,0.2715,1
fast growth,short,200,exponential,211,3,,4000,1,0,0,3,1485,0.37125,1.1
fast growth,short,200,exponential,212,4,,4000,1,0,0,3,1482,0.3705,1.1
fast growth,short,200,exponential,213,5,,4000,1,0,0,3,1587,0.39675,1.1
fast growth,short,200,exponential,214,6,,4000,1,0,0,4,28,0.007,1.1
fast growth,short,200,exponential,215,7,,4000,1,0,0,3,1470,0.3675,1.1
fast growth,short,200,exponential,216,8,,4000,1,0,0,3,1472,0.368,1.1
fast growth,short,200,exponential,217,9,,4000,1,0,0,3,1394,0.3485,1.1
fast growth,short,200,exponential,218,10,,4000,1,0,0,3,1647,0.41175,1.1
fast growth,short,200,exponential,219,11,,4000,1,0,0,3,1319,0.32975,1.1
fast growth,short,200,exponential,220,12,,4000,1,0,0,3,1480,0.37,1
fast growth,short,200,exponential,221,13,,4000,1,0,0,4,3,0.00075,1.1
fast growth,short,200,exponential,222,14,,4000,1,0,0,3,1550,0.3875,1.1
fast growth,short,200,exponential,223,15,,4000,1,0,0,3,1437,0.35925,1.1
fast growth,short,200,exponential,224,16,,4000,1,0,0,3,1361,0.34025,1.1
fast growth,short,200,exponential,225,17,,4000,1,0,0,3,1591,0.39775,1
fast growth,short,200,exponential,226,18,,4000,1,0,0,3,1624,0.406,1.1
fast growth,short,200,exponential,227,19,,4000,1,0,0,3,1406,0.3515,1.1
fast growth,short,200,exponential,228,20,,4000,1,0,0,3,1526,0.3815,1.1
growth,long,200,exponential,229,1,,4000,1,0,0,3,1533,0.38325,1.1
growth,long,200,exponential,230,2,,4000,1,0,0,3,1553,0.38825,1
growth,long,200,exponential,231,3,,4000,1,0,0,3,1738,0.4345,1.1
growth,long,200,exponential,232,4,,4000,1,0,0,3,1456,0.364,1.1
growth,long,200,exponential,233,5,,4000,1.01,0,0,3,1345,0.33625,1.1
growth,long,200,exponential,234,6,,4000,1,0,0,3,1646,0.4115,1.1
growth,long,200,exponential,235,7,,4000,1,0,0,3,1485,0.37125,1
growth,long,200,exponential,236,8,,4000,1,0,0,3,1590,0.3975,1.1
growth,long,200,exponential,237,9,,4000,1,0,0,3,1445,0.36125,1
growth,long,200,exponential,238,10,,4000,1,0,0,3,1622,0.4055,1.1
growth,long,200,exponential,239,11,,4000,1,0,0,3,1514,0.3785,1
growth,long,200,exponential,240,12,,4000,1,0,0,3,1708,0.427,1.1
growth,long,200,exponential,241,13,,4000,1,0,0,3,1651,0.41275,1
growth,long,200,exponential,242,14,,4000,1,0,0,3,1643,0.41075,1.1
growth,long,200,exponential,243,15,,4000,1,0,0,3,1713,0.42825,1
growth,long,200,exponential,244,16,,4000,1,0,0,3,1302,0.3255,1.1
growth,long,200,exponential,245,17,,4000,1,0,0,3,1614,0.4035,1.1
growth,long,200,exponential,246,18,,4000,1,0,0,3,1435,0.35875,1.1
growth,long,200,exponential,247,19,,4000,1,0,0,3,1691,0.42275,1.1
growth,long,200,exponential,248,20,,4000,1,0,0,3,1561,0.39025,1.1
