scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time
fast decay,medium,200,exponential,139,11,,4000,1,0,0,3,1913,0.47825,2.1
fast decay,medium,200,exponential,140,12,,4000,1,0,0,3,1758,0.4395,2.3
fast decay,medium,200,exponential,141,13,,4000,1,0,0,3,1630,0.4075,2.4
fast decay,medium,200,exponential,142,14,,4000,1,0,0,3,1626,0.4065,2.3
fast decay,medium,200,exponential,143,15,,4000,1,0,0,3,1528,0.382,2
fast decay,medium,200,exponential,144,16,,4000,1,0,0,3,1623,0.40575,2.3
fast decay,medium,200,exponential,145,17,,4000,1,0,0,3,1670,0.4175,2.3
fast decay,medium,200,exponential,146,18,,4000,1,0,0,3,1513,0.37825,2.3
fast decay,medium,200,exponential,147,19,,4000,1,0,0,3,1615,0.40375,2.3
fast decay,medium,200,exponential,148,20,,4000,1.01,0,0,3,1493,0.37325,2.1
fast decay,short,200,exponential,149,1,,4000,1,0,0,3,1479,0.36975,2.4
fast decay,short,200,exponential,150,2,,4000,1.02,2784,0.696,9,77,0.01925,45.1
fast decay,short,200,exponential,151,3,,4000,1.04,2637,0.65925,10,706,0.1765,140.7
fast decay,short,200,exponential,152,4,,4000,1,0,0,3,1639,0.40975,2.4
fast decay,short,200,exponential,153,5,,4000,1,0,0,3,1602,0.4005,2
fast decay,short,200,exponential,154,6,,4000,1,0,0,3,1702,0.4255,2.1
fast decay,short,200,exponential,155,7,,4000,1,68,0.017,4,19,0.00475,2.5
fast decay,short,200,exponential,156,8,,4000,1,0,0,3,1466,0.3665,2.3
fast decay,short,200,exponential,157,9,,4000,1,0,0,4,32,0.008,2.6
fast decay,short,200,exponential,158,10,,4000,1,1840,0.46,7,1,0.00025,9.7
fast decay,short,200,exponential,159,11,,4000,1,8,0.002,3,1595,0.39875,2.6
fast decay,short,200,exponential,160,12,,4000,1.01,2837,0.70925,6,172,0.043,18.2
fast decay,short,200,exponential,161,13,,4000,1,0,0,3,1511,0.37775,2.5
fast decay,short,200,exponential,162,14,,4000,1,0,0,3,1414,0.3535,2.6
fast decay,short,200,exponential,163,15,,4000,1.01,2729,0.68225,8,49,0.01225,24.2
fast decay,short,200,exponential,164,16,,4000,1.01,747,0.18675,5,6,0.0015,7.6
fast decay,short,200,exponential,165,17,,4000,1,0,0,3,1154,0.2885,2.3
fast decay,short,200,exponential,166,18,,4000,1.03,2839,0.70975,7,20,0.005,22.1
fast decay,short,200,exponential,167,19,,4000,1,0,0,3,1309,0.32725,2.4
fast decay,short,200,exponential,168,20,,4000,1,5,0.00125,3,1651,0.41275,2.6
fast growth,long,200,exponential,169,1,,4000,1,0,0,4,173,0.04325,2.3
fast growth,long,200,exponential,170,2,,4000,1.01,0,0,4,99,0.02475,2.6
fast growth,long,200,exponential,171,3,,4000,1,0,0,4,168,0.042,2.7
fast growth,long,200,exponential,172,4,,4000,1.01,0,0,4,114,0.0285,2.4
fast growth,long,200,exponential,173,5,,4000,1,0,0,4,163,0.04075,2.6
fast growth,long,200,exponential,174,6,,4000,1.01,0,0,4,152,0.038,2.5
fast growth,long,200,exponential,175,7,,4000,1.01,0,0,4,70,0.0175,2.6
fast growth,long,200,exponential,176,8,,4000,1,0,0,5,1,0.00025,2.6
fast growth,long,200,exponential,177,9,,4000,1,0,0,4,152,0.038,2.5
fast growth,long,200,exponential,178,10,,4000,1,0,0,4,56,0.014,2.4
fast growth,long,200,exponential,179,11,,4000,1,0,0,4,129,0.03225,2.5
fast growth,long,200,exponential,180,12,,4000,1,0,0,4,163,0.04075,2.5
fast growth,long,200,exponential,181,13,,4000,1,0,0,4,82,0.0205,2.6
fast growth,long,200,exponential,182,14,,4000,1,0,0,4,167,0.04175,2.8
fast growth,long,200,exponential,183,15,,4000,1,0,0,4,122,0.0305,3
fast growth,long,200,exponential,184,16,,4000,1.01,0,0,4,54,0.0135,2.2
fast growth,long,200,exponential,185,17,,4000,1,0,0,4,172,0.043,2.7
fast growth,long,200,exponential,186,18,,4000,1,0,0,4,118,0.0295,2.6
fast growth,long,200,exponential,187,19,,4000,1.01,0,0,4,206,0.0515,2.7
fast growth,long,200,exponential,188,20,,4000,1,0,0,4,108,0.027,2.8
fast growth,medium,200,exponential,189,1,,4000,1.01,0,0,4,2,5e-04,2.6
fast growth,medium,200,exponential,190,2,,4000,1,0,0,3,1296,0.324,2.3
fast growth,medium,200,exponential,191,3,,4000,1.01,0,0,4,71,0.01775,2.7
fast growth,medium,200,exponential,192,4,,4000,1,0,0,4,44,0.011,2.8
fast growth,medium,200,exponential,193,5,,4000,1,0,0,4,26,0.0065,2.7
fast growth,medium,200,exponential,194,6,,4000,1,0,0,3,1384,0.346,2.2
fast growth,medium,200,exponential,195,7,,4000,1,0,0,4,192,0.048,2.8
fast growth,medium,200,exponential,196,8,,4000,1.01,0,0,4,44,0.011,2.5
fast growth,medium,200,exponential,197,9,,4000,1,0,0,3,1410,0.3525,2.4
fast growth,medium,200,exponential,198,10,,4000,1,0,0,4,1,0.00025,2.5
fast growth,medium,200,exponential,199,11,,4000,1,0,0,4,38,0.0095,2.6
fast growth,medium,200,exponential,200,12,,4000,1,0,0,4,18,0.0045,2.2
fast growth,medium,200,exponential,201,13,,4000,1,0,0,4,117,0.02925,2.7
fast growth,medium,200,exponential,202,14,,4000,1,0,0,3,1310,0.3275,2.3
fast growth,medium,200,exponential,203,15,,4000,1,0,0,4,5,0.00125,2.4
fast growth,medium,200,exponential,204,16,,4000,1.01,0,0,4,33,0.00825,2.3
fast growth,medium,200,exponential,205,17,,4000,1,0,0,4,1,0.00025,2.5
fast growth,medium,200,exponential,206,18,,4000,1,0,0,4,9,0.00225,2.2
fast growth,medium,200,exponential,207,19,,4000,1,0,0,4,38,0.0095,2.6
fast growth,medium,200,exponential,208,20,,4000,1,0,0,3,1178,0.2945,2.2
fast growth,short,200,exponential,209,1,,4000,1,0,0,3,1620,0.405,2.2
fast growth,short,200,exponential,210,2,,4000,1,0,0,3,1665,0.41625,2.2
fast growth,short,200,exponential,211,3,,4000,1,0,0,3,1728,0.432,2.7
fast growth,short,200,exponential,212,4,,4000,1,1,0.00025,3,1642,0.4105,2.6
fast growth,short,200,exponential,213,5,,4000,1.01,0,0,3,1560,0.39,2
fast growth,short,200,exponential,214,6,,4000,1,0,0,3,1620,0.405,2.4
fast growth,short,200,exponential,215,7,,4000,1.01,0,0,3,1612,0.403,2
fast growth,short,200,exponential,216,8,,4000,1,0,0,3,1609,0.40225,2.6
fast growth,short,200,exponential,217,9,,4000,1,0,0,3,1478,0.3695,2.4
fast growth,short,200,exponential,218,10,,4000,1,0,0,3,1335,0.33375,2.3
fast growth,short,200,exponential,219,11,,4000,1,0,0,3,1753,0.43825,2.4
fast growth,short,200,exponential,220,12,,4000,1,0,0,3,1575,0.39375,2.2
fast growth,short,200,exponential,221,13,,4000,1,2,5e-04,3,1544,0.386,2.2
fast growth,short,200,exponential,222,14,,4000,1,8,0.002,4,27,0.00675,2.3
fast growth,short,200,exponential,223,15,,4000,1,0,0,3,1607,0.40175,2.4
fast growth,short,200,exponential,224,16,,4000,1,0,0,3,1504,0.376,2.2
fast growth,short,200,exponential,225,17,,4000,1,0,0,3,1551,0.38775,2.2
fast growth,short,200,exponential,226,18,,4000,1,0,0,3,1576,0.394,2.3
fast growth,short,200,exponential,227,19,,4000,1,0,0,3,1573,0.39325,2.4
fast growth,short,200,exponential,228,20,,4000,1,0,0,3,1625,0.40625,2.1
growth,long,200,exponential,229,1,,4000,1,0,0,4,68,0.017,2.6
growth,long,200,exponential,230,2,,4000,1,0,0,4,138,0.0345,2.7
growth,long,200,exponential,231,3,,4000,1,0,0,4,54,0.0135,2.7
growth,long,200,exponential,232,4,,4000,1,0,0,4,11,0.00275,2.5
growth,long,200,exponential,233,5,,4000,1,0,0,4,25,0.00625,2.6
growth,long,200,exponential,234,6,,4000,1,0,0,4,1,0.00025,2.5
growth,long,200,exponential,235,7,,4000,1,0,0,4,87,0.02175,2.7
growth,long,200,exponential,236,8,,4000,1,0,0,4,4,0.001,2.4
growth,long,200,exponential,237,9,,4000,1,0,0,4,161,0.04025,2.8
growth,long,200,exponential,238,10,,4000,1,0,0,4,26,0.0065,2.5
growth,long,200,exponential,239,11,,4000,1,0,0,3,1345,0.33625,2.4
growth,long,200,exponential,240,12,,4000,1,0,0,4,93,0.02325,2.6
growth,long,200,exponential,241,13,,4000,1,0,0,4,1,0.00025,2.5
growth,long,200,exponential,242,14,,4000,1,0,0,4,6,0.0015,2.5
growth,long,200,exponential,243,15,,4000,1,0,0,4,59,0.01475,2.5
growth,long,200,exponential,244,16,,4000,1,0,0,4,44,0.011,2.5
growth,long,200,exponential,245,17,,4000,1,0,0,4,40,0.01,2.6
growth,long,200,exponential,246,18,,4000,1.01,0,0,3,1262,0.3155,2.4
growth,long,200,exponential,247,19,,4000,1,0,0,3,1311,0.32775,2.3
growth,long,200,exponential,248,20,,4000,1,0,0,4,43,0.01075,2.6
growth,medium,200,exponential,249,1,,4000,1,0,0,3,1539,0.38475,2.5
growth,medium,200,exponential,250,2,,4000,1,0,0,3,1652,0.413,2.4
growth,medium,200,exponential,251,3,,4000,1,0,0,3,1466,0.3665,2.6
growth,medium,200,exponential,252,4,,4000,1,0,0,3,1224,0.306,2.5
growth,medium,200,exponential,253,5,,4000,1,0,0,3,1624,0.406,2.5
growth,medium,200,exponential,254,6,,4000,1,0,0,3,1634,0.4085,2.5
growth,medium,200,exponential,255,7,,4000,1,0,0,3,1494,0.3735,2.5
growth,medium,200,exponential,256,8,,4000,1,0,0,3,1672,0.418,2.5
growth,medium,200,exponential,257,9,,4000,1,0,0,3,1472,0.368,2.4
growth,medium,200,exponential,258,10,,4000,1,0,0,4,12,0.003,2.6
growth,medium,200,exponential,259,11,,4000,1,0,0,4,55,0.01375,2.7
growth,medium,200,exponential,260,12,,4000,1,0,0,3,1498,0.3745,2.5
growth,medium,200,exponential,261,13,,4000,1,0,0,3,1586,0.3965,2.5
growth,medium,200,exponential,262,14,,4000,1,0,0,3,1525,0.38125,2.6
growth,medium,200,exponential,263,15,,4000,1,0,0,3,1451,0.36275,2.4
growth,medium,200,exponential,264,16,,4000,1,0,0,3,1542,0.3855,2.6
growth,medium,200,exponential,265,17,,4000,1,0,0,3,1627,0.40675,2.5
growth,medium,200,exponential,266,18,,4000,1,0,0,4,3,0.00075,2.5
growth,medium,200,exponential,267,19,,4000,1,0,0,3,1785,0.44625,2.5
growth,medium,200,exponential,268,20,,4000,1,0,0,3,1605,0.40125,2.4
growth,short,200,exponential,269,1,,4000,1.01,0,0,3,1679,0.41975,2.6
growth,short,200,exponential,270,2,,4000,1.01,0,0,3,1464,0.366,2.5
growth,short,200,exponential,271,3,,4000,1,0,0,3,1373,0.34325,2.5
growth,short,200,exponential,272,4,,4000,1,0,0,3,1662,0.4155,2.6
growth,short,200,exponential,273,5,,4000,1,0,0,3,1604,0.401,2.5
growth,short,200,exponential,274,6,,4000,1,0,0,3,1573,0.39325,2.5
growth,short,200,exponential,275,7,,4000,1,0,0,3,1478,0.3695,2.5
growth,short,200,exponential,276,8,,4000,1,0,0,3,1468,0.367,2.5
growth,short,200,exponential,277,9,,4000,1,0,0,3,1651,0.41275,2.6
growth,short,200,exponential,278,10,,4000,1,0,0,3,1527,0.38175,2.5
growth,short,200,exponential,279,11,,4000,1,0,0,3,1607,0.40175,2.6
growth,short,200,exponential,280,12,,4000,1,0,0,3,1578,0.3945,2.6
growth,short,200,exponential,281,13,,4000,1,0,0,3,1514,0.3785,2.5
growth,short,200,exponential,282,14,,4000,1,0,0,3,1593,0.39825,2.5
growth,short,200,exponential,283,15,,4000,1,0,0,3,1576,0.394,2.4
growth,short,200,exponential,284,16,,4000,1,0,0,3,1443,0.36075,2.5
growth,short,200,exponential,285,17,,4000,1,0,0,3,1687,0.42175,2.6
growth,short,200,exponential,286,18,,4000,1,0,0,3,1770,0.4425,2.6
growth,short,200,exponential,287,19,,4000,1,5,0.00125,3,1489,0.37225,2.4
growth,short,200,exponential,288,20,,4000,1,0,0,3,1634,0.4085,2.6
stable,long,200,exponential,289,1,,4000,1,0,0,3,1267,0.31675,2.3
stable,long,200,exponential,290,2,,4000,1,0,0,3,1365,0.34125,2.4
stable,long,200,exponential,291,3,,4000,1,0,0,4,28,0.007,2.4
stable,long,200,exponential,292,4,,4000,1,0,0,3,1649,0.41225,2.4
stable,long,200,exponential,293,5,,4000,1,0,0,3,1669,0.41725,2.4
stable,long,200,exponential,294,6,,4000,1,0,0,4,30,0.0075,2.5
stable,long,200,exponential,295,7,,4000,1,0,0,4,2,5e-04,2.4
stable,long,200,exponential,296,8,,4000,1.01,0,0,3,1530,0.3825,2.3
stable,long,200,exponential,297,9,,4000,1,0,0,4,17,0.00425,2.4
stable,long,200,exponential,298,10,,4000,1,0,0,4,1,0.00025,2.4
stable,long,200,exponential,299,11,,4000,1,0,0,3,1292,0.323,2.5
stable,long,200,exponential,300,12,,4000,1,0,0,3,1453,0.36325,2.4
stable,long,200,exponential,301,13,,4000,1,0,0,4,39,0.00975,2.6
stable,long,200,exponential,302,14,,4000,1,0,0,4,83,0.02075,2.6
stable,long,200,exponential,303,15,,4000,1,0,0,3,1437,0.35925,2.4
stable,long,200,exponential,304,16,,4000,1,0,0,3,1562,0.3905,2.4
stable,long,200,exponential,305,17,,4000,1,0,0,4,81,0.02025,2.6
stable,long,200,exponential,306,18,,4000,1,0,0,3,1467,0.36675,2.4
stable,long,200,exponential,307,19,,4000,1,0,0,3,1623,0.40575,2.4
stable,long,200,exponential,308,20,,4000,1.01,0,0,3,1442,0.3605,2.4
stable,medium,200,exponential,309,1,,4000,1,0,0,3,1541,0.38525,2.4
stable,medium,200,exponential,310,2,,4000,1,0,0,3,1529,0.38225,2.5
stable,medium,200,exponential,311,3,,4000,1,0,0,3,1462,0.3655,2.4
stable,medium,200,exponential,312,4,,4000,1,0,0,3,1555,0.38875,2.5
stable,medium,200,exponential,313,5,,4000,1,0,0,3,1553,0.38825,2.5
stable,medium,200,exponential,314,6,,4000,1,0,0,3,1579,0.39475,2.5
stable,medium,200,exponential,315,7,,4000,1,0,0,3,1497,0.37425,2.4
stable,medium,200,exponential,316,8,,4000,1,0,0,3,1632,0.408,2.5
stable,medium,200,exponential,317,9,,4000,1,0,0,3,1693,0.42325,2.5
stable,medium,200,exponential,318,10,,4000,1,0,0,3,1448,0.362,2.5
stable,medium,200,exponential,319,11,,4000,1,0,0,3,1489,0.37225,2.5
stable,medium,200,exponential,320,12,,4000,1,0,0,3,1483,0.37075,2.4
stable,medium,200,exponential,321,13,,4000,1,0,0,3,1649,0.41225,2.4
stable,medium,200,exponential,322,14,,4000,1,0,0,3,1566,0.3915,2.4
stable,medium,200,exponential,323,15,,4000,1,0,0,3,1617,0.40425,2.4
stable,medium,200,exponential,324,16,,4000,1,0,0,3,1684,0.421,2.4
stable,medium,200,exponential,325,17,,4000,1,0,0,3,1717,0.42925,2.4
stable,medium,200,exponential,326,18,,4000,1,0,0,3,1639,0.40975,2.5
stable,medium,200,exponential,327,19,,4000,1,0,0,3,1410,0.3525,2.3
stable,medium,200,exponential,328,20,,4000,1,0,0,3,1614,0.4035,2.4
stable,short,200,exponential,329,1,,4000,1,0,0,3,1586,0.3965,2.6
stable,short,200,exponential,330,2,,4000,1,0,0,3,1576,0.394,2.5
stable,short,200,exponential,331,3,,4000,1,2,5e-04,3,1557,0.38925,2.6
stable,short,200,exponential,332,4,,4000,1,0,0,3,1680,0.42,2.6
stable,short,200,exponential,333,5,,4000,1,0,0,3,1513,0.37825,2.6
stable,short,200,exponential,334,6,,4000,1,0,0,3,1549,0.38725,2.5
stable,short,200,exponential,335,7,,4000,1,0,0,3,1681,0.42025,2.5
stable,short,200,exponential,336,8,,4000,1,0,0,3,1598,0.3995,2.5
stable,short,200,exponential,337,9,,4000,1,0,0,3,1398,0.3495,2.4
stable,short,200,exponential,338,10,,4000,1,0,0,3,1352,0.338,2.5
stable,short,200,exponential,339,11,,4000,1,0,0,3,1476,0.369,2.4
stable,short,200,exponential,340,12,,4000,1,1,0.00025,3,1520,0.38,2.6
